,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'generation generation': 0.8221270442008972, 'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 0.8561059832572937, 'storage storage': 1.0, 'transmission transmission': 1.0, 'hydrogen hydrogen': 1.0, 'renewable renewable': 1.0, 'wind wind': 0.861217200756073, 'solar solar': 1.0, 'grid grids': 0.8352745771408081}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},"{'electric electric': 1.0, 'vehicle vehicles': 0.8584986925125122, 'car car': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'potable potable': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'grid grid': 0.8128994703292847, 'storage storage': 0.8670341372489929, 'renewable renewable': 1.0, 'biofuel biofuel': 1.0, 'transmission transmission': 1.0, 'wind wind': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'generation generation': 1.0, 'hydrogen hydrogen': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'food food': 1.0, 'agriculture agriculture': 1.0, 'agriculture agricultural': 0.898859441280365, 'forest forest': 0.8461655378341675, 'land land': 1.0, 'land “': 0.8367156982421875}","{'biodiversity biodiversity': 0.8632800579071045, 'conservation conservation': 1.0, 'biodiversity ecosystems': 0.8021105527877808, 'terrestrial terrestrial': 1.0}","{'rail rail': 1.0, 'electric electric': 0.8524656295776367, 'vehicle vehicles': 0.8584986925125122, 'transportation transportation': 1.0, 'battery battery': 1.0, 'charger battery': 0.8197756409645081, 'vehicle vehicle': 1.0}","{'wastewater wastewater': 1.0, 'water water': 0.8583021759986877, 'sanitation sanitation': 0.8295572996139526, 'treatment treatment': 0.8470622897148132}","{'adaptation adaptation': 1.0, 'disaster disasters': 0.8176723718643188}",{'recycle recycling': 0.8278464674949646},"{'housing housing': 1.0, 'buildings buildings': 0.8454830050468445}"
3,CADU_GREEN_BOND_FRAMEWORK,False,{},{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},"{'water water': 0.8583021759986877, 'wastewater sewage': 0.8658150434494019}",{},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'biomass biomass': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'wind wind': 1.0, 'geothermal geothermal': 1.0}",{},{'waste waste': 1.0},{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{'recycle recycling': 0.8278464674949646},{}
5,EGE_Haina_Green_Securities_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0, 'transmission transmission': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 0.8435052633285522, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land lands': 0.8242226839065552, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry forestry': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 0.8583021759986877},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'forest forests': 0.8802252411842346, 'agriculture agricultural': 0.898859441280365, 'land lands': 0.8242226839065552, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 0.8583021759986877},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0}",{},{},{},{},"{'battery battery': 1.0, 'charger battery': 0.8197756409645081}",{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'generation generation': 0.8221270442008972, 'power power': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0, 'grid grid': 0.8339791297912598}",{},{'pollution pollution': 1.0},{},"{'conservation conservation': 0.8356547355651855, 'biodiversity biodiversity': 1.0}",{},{},{'adaptation adaptation': 0.8294525742530823},{},{}
10,Marco_de_referencia_de_Bonos_Verdes_Soberanos_de_Colombia,True,"{'power power': 1.0, 'wind wind': 1.0, 'storage storage': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'agriculture agricultural': 0.898859441280365, 'land land': 0.8250224590301514, 'agriculture agriculture': 1.0, 'forest forest': 1.0}","{'conservation conservation': 1.0, 'biodiversity ecosystems': 0.8021105527877808, 'biodiversity biodiversity': 1.0}","{'electric electric': 1.0, 'non non': 1.0, 'transportation transportation': 1.0}","{'water water': 0.8583021759986877, 'sanitation sanitation': 0.8295572996139526, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}","{'adaptation adaptation': 1.0, 'disaster disaster': 1.0}","{'reuse reuse': 1.0, 'circular circular': 1.0}","{'housing housing': 0.8488945960998535, 'buildings buildings': 0.8554772734642029}"
11,Nacional_Financiera_Green_Bond_USD,True,"{'generation generation': 1.0, 'wind wind': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
12,SONDA_S_A__GREEN_BOND_FRAMEWORK,True,"{'geothermal geothermal': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'biomass biomass': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{},{},{},{'buildings buildings': 1.0}
13,Bono_Azul_-_Framework,False,{},{},{'de de': 0.9079835414886475},{},{},{},{},{},{},{'y y': 0.9070735573768616}
14,Bono_Verde_de_Bancoldex_Framework,True,"{'hidroelectricidad hidroeléctricas': 0.8153160214424133, 'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'bioenergía energía': 0.8198480606079102, 'potencia capacidad': 0.8051767349243164, 'generación cogeneración': 0.8619147539138794, 'cuadrícula atmosféricas': 0.807408332824707, 'renovable renovable': 1.0}",{},"{'de de': 0.9079835414886475, 'contaminación contaminación': 1.0, 'contaminación contaminantes': 0.8567338585853577}",{},"{'conservación aprovechamiento': 0.8383619785308838, 'conservación mitigación': 0.8037376403808594, 'conservación implementación': 0.8000835180282593, 'conservación construcción': 0.806158721446991, 'conservación contribución': 0.8010097742080688, 'conservación recuperación': 0.8293237686157227}","{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0}",{},"{'adecuación adecuaciones': 0.806394100189209, 'adecuación implementación': 0.8621118664741516, 'adecuación integración': 0.8163694739341736, 'adecuación optimización': 0.8359052538871765, 'adecuación renovación': 0.8079515099525452, 'adecuación modernización': 0.8007344603538513, 'adecuación incorporación': 0.8026008009910583}",{},"{'la la': 0.947020411491394, 'construcciones adecuaciones': 0.8131966590881348, 'construcciones construcciones': 1.0, 'y y': 0.9070735573768616}"
15,Cartilla_Bonos_Verdes,True,"{'biocombustible combustible': 0.8335129022598267, 'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'bioenergía energía': 0.8198480606079102, 'cuadrícula (': 0.8893733024597168, 'cuadrícula iii': 0.8252873420715332, 'cuadrícula plasma': 0.8057650327682495}",{},{'de de': 0.9079835414886475},"{'Arboricultura acuicultura': 0.8038574457168579, 'pesquerías pesquería': 0.8017709255218506}","{'conservación aprovechamiento': 0.8383619785308838, 'conservación implementación': 0.8000835180282593, 'conservación construcción': 0.806158721446991, 'conservación utilización': 0.817090630531311, 'conservación restauración': 0.8449034690856934, 'conservación recuperación': 0.8293237686157227, 'terrestre terrestres': 0.8388893604278564}","{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'no no': 0.9680165648460388, 'eléctricos eléctricos': 1.0}","{'saneamiento mantenimiento': 0.8064507842063904, '  potable': 1.0000001192092896, 'saneamiento abastecimiento': 0.8477514386177063}","{'adecuación evaluación': 0.8495463132858276, 'adecuación implementación': 0.8621118664741516, 'adecuación integración': 0.8163694739341736, 'adecuación planeación': 0.808627724647522, 'adecuación renovación': 0.8079515099525452, 'adecuación utilización': 0.8224044442176819}",{},"{'la la': 0.947020411491394, 'construcciones plantaciones': 0.8306095004081726, 'construcciones instalaciones': 0.807640016078949, 'y y': 0.9070735573768616}"
16,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",True,"{'cuadrícula (': 0.9473557472229004, 'solar solar': 1.0, 'generación generación': 1.0}",{},"{'contaminación descarbonización': 0.8036044239997864, 'de de': 0.9079835414886475}",{},"{'conservación realización': 0.8137819766998291, 'conservación gasificación': 0.8011845946311951, 'conservación construcción': 0.806158721446991}","{'la la': 0.939012348651886, 'eléctricos eléctricos': 1.0, 'no no': 0.9680165648460388}",{},"{'adecuación habilitación': 0.8525652289390564, 'adecuación fiscalización': 0.8114882707595825, 'adecuación realización': 0.8257564902305603, 'adecuación gasificación': 0.8322635889053345}",{},"{'la la': 0.947020411491394, 'y y': 0.9070735573768616}"
17,Marco_de_Referencia_del_Bono_Verde_de_la_Ciudad_de_Mexico,True,"{'cuadrícula (': 0.9473557472229004, 'cuadrícula futuros': 0.8777064085006714, 'generación transformación': 0.8076272010803223, 'cuadrícula totales': 0.892815351486206, 'cuadrícula vehículos': 0.8071877360343933, 'biocombustible combustible': 0.8335129022598267, 'generación generación': 1.0, 'biomasa biomasa': 1.0, 'cuadrícula tecnología': 0.8814537525177002, 'cuadrícula financiamiento': 0.8732093572616577, 'bioenergía energía': 0.8198480606079102, 'potencia capacidad': 0.8051767349243164, 'cuadrícula )': 0.8254541158676147, 'hidroelectricidad hidroeléctricos': 0.8131045699119568, 'renovable renovable': 1.0}",{},"{'de de': 0.9079835414886475, 'contaminación descontaminación': 0.9332984685897827, 'contaminación contaminantes': 0.8567338585853577}",{},"{'conservación reutilización': 0.8417978286743164, 'conservación observación': 0.8122673034667969, 'conservación reforestación': 0.8358405828475952, 'biodiversidad biodiversidad': 1.0, 'conservación construcción': 0.806158721446991, 'conservación restauración': 0.8449034690856934}","{'la la': 0.939012348651886, 'no no': 0.9680165648460388, 'transporte transporte': 1.0}",{'saneamiento mantenimiento': 0.8064507842063904},"{'adecuación reutilización': 0.829303503036499, 'adecuación transformación': 0.8015757203102112, 'adecuación evaluación': 0.8495463132858276, 'adecuación asignación': 0.8254500031471252, 'adecuación planeación': 0.808627724647522, 'adecuación adaptación': 0.816444456577301, 'adecuación validación': 0.8463414311408997, 'adecuación regulación': 0.8415524363517761}",{},"{'la la': 0.947020411491394, 'construcciones edificaciones': 0.9605708122253418, 'construcciones instalaciones': 0.807640016078949, 'y y': 0.9070735573768616}"
18,Green_Bonds_Framework_Athon_2020,True,"{'energia energia': 0.9084944128990173, 'geração geração': 1.0}",{'eficiência qualidade': 0.8311229348182678},{},{'alimentares alimentos': 0.8313022255897522},{},"{'Elev domésticas': 0.8492071628570557, 'Elev mentoria': 0.8052674531936646, 'Elev norland': 0.8765970468521118, 'Elev trabalho': 0.8066929578781128, 'Elev equipamentos': 0.8798730373382568, 'Elev ambiental': 0.8465332388877869, 'Elev implantado': 0.8595749735832214, 'Elev desenvolvimento': 0.8341999053955078, 'Elev marabá': 0.8400039672851562, 'Elev capacidade': 0.8276458382606506, 'Elev gwh': 0.8765970468521118}",{},{},{},{}
