,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'storage storage': 1.0, 'hydrogen hydrogen': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},"{'electric electric': 1.0, 'car car': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'potable potable': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'grid grid': 1.0, 'storage storage': 1.0, 'renewable renewable': 1.0, 'biofuel biofuel': 1.0, 'transmission transmission': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'generation generation': 1.0, 'power power': 1.0, 'hydrogen hydrogen': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'food food': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0, 'land land': 1.0}","{'biodiversity biodiversity': 1.0, 'conservation conservation': 1.0, 'terrestrial terrestrial': 1.0}","{'electric electric': 1.0, 'rail rail': 1.0, 'battery battery': 1.0, 'vehicle vehicle': 1.0, 'transportation transportation': 1.0}","{'wastewater wastewater': 1.0, 'water water': 1.0, 'sanitation sanitation': 1.0}",{'adaptation adaptation': 1.0},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
3,CADU_GREEN_BOND_FRAMEWORK,False,{},{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{'water water': 1.0},{},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'power power': 1.0, 'renewable renewable': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'biomass biomass': 1.0, 'wind wind': 1.0, 'geothermal geothermal': 1.0}",{},{'waste waste': 1.0},{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{}
5,EGE_Haina_Green_Securities_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0, 'transmission transmission': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry forestry': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'generation generation': 1.0, 'storage storage': 1.0, 'biomass biomass': 1.0, 'biofuel biofuel': 1.0}",{},{},"{'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0}",{},{},{},{},{'battery battery': 1.0},{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{},{'pollution pollution': 1.0},{},{'biodiversity biodiversity': 1.0},{},{},{},{},{}
10,Marco_de_referencia_de_Bonos_Verdes_Soberanos_de_Colombia,True,"{'power power': 1.0, 'storage storage': 1.0, 'wind wind': 1.0, 'renewable renewable': 1.0, 'transmission transmission': 1.0}",{'efficiency efficiency': 1.0},"{'pollution pollution': 1.0, 'waste waste': 1.0}","{'agriculture agriculture': 1.0, 'forest forest': 1.0}","{'conservation conservation': 1.0, 'biodiversity biodiversity': 1.0}","{'electric electric': 1.0, 'non non': 1.0, 'transportation transportation': 1.0}","{'water water': 1.0, 'sanitation sanitation': 1.0, 'treatment treatment': 1.0, 'wastewater wastewater': 1.0}","{'adaptation adaptation': 1.0, 'disaster disaster': 1.0}","{'reuse reuse': 1.0, 'circular circular': 1.0}",{'buildings buildings': 1.0}
11,Nacional_Financiera_Green_Bond_USD,True,"{'generation generation': 1.0, 'wind wind': 1.0, 'transmission transmission': 1.0}",{},{},{},{},{},{},{},{},{}
12,SONDA_S_A__GREEN_BOND_FRAMEWORK,True,"{'geothermal geothermal': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'solar solar': 1.0, 'biomass biomass': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{},{},{},{'buildings buildings': 1.0}
13,Bono_Azul_-_Framework,False,{},{},{'de de': 0.9079835414886475},{},{},{},{},{},{},{'y y': 0.9070735573768616}
14,Bono_Verde_de_Bancoldex_Framework,True,"{'hidroelectricidad hidroeléctricas': 0.8153160214424133, 'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'bioenergía energía': 0.8198480606079102, 'potencia capacidad': 0.8051767349243164, 'generación cogeneración': 0.8619147539138794, 'cuadrícula atmosféricas': 0.807408332824707, 'renovable renovable': 1.0}",{},"{'de de': 0.9079835414886475, 'contaminación contaminación': 1.0, 'contaminación contaminantes': 0.8567338585853577}",{},"{'conservación aprovechamiento': 0.8383619785308838, 'conservación mitigación': 0.8037376403808594, 'conservación implementación': 0.8000835180282593, 'conservación construcción': 0.806158721446991, 'conservación contribución': 0.8010097742080688, 'conservación recuperación': 0.8293237686157227}","{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0}",{},"{'adecuación adecuaciones': 0.806394100189209, 'adecuación implementación': 0.8621118664741516, 'adecuación integración': 0.8163694739341736, 'adecuación optimización': 0.8359052538871765, 'adecuación renovación': 0.8079515099525452, 'adecuación modernización': 0.8007344603538513, 'adecuación incorporación': 0.8026008009910583}",{},"{'la la': 0.947020411491394, 'construcciones adecuaciones': 0.8131966590881348, 'construcciones construcciones': 1.0, 'y y': 0.9070735573768616}"
15,Cartilla_Bonos_Verdes,True,"{'biocombustible combustible': 0.8335129022598267, 'generación generación': 1.0, 'almacenamiento almacenamiento': 1.0, 'bioenergía energía': 0.8198480606079102, 'cuadrícula (': 0.8893733024597168, 'cuadrícula iii': 0.8252873420715332, 'cuadrícula plasma': 0.8057650327682495}",{},{'de de': 0.9079835414886475},"{'Arboricultura acuicultura': 0.8038574457168579, 'pesquerías pesquería': 0.8017709255218506}","{'conservación aprovechamiento': 0.8383619785308838, 'conservación implementación': 0.8000835180282593, 'conservación construcción': 0.806158721446991, 'conservación utilización': 0.817090630531311, 'conservación restauración': 0.8449034690856934, 'conservación recuperación': 0.8293237686157227, 'terrestre terrestres': 0.8388893604278564}","{'la la': 0.939012348651886, 'transporte transporte': 1.0, 'no no': 0.9680165648460388, 'eléctricos eléctricos': 1.0}","{'saneamiento mantenimiento': 0.8064507842063904, '  potable': 1.0000001192092896, 'saneamiento abastecimiento': 0.8477514386177063}","{'adecuación evaluación': 0.8495463132858276, 'adecuación implementación': 0.8621118664741516, 'adecuación integración': 0.8163694739341736, 'adecuación planeación': 0.808627724647522, 'adecuación renovación': 0.8079515099525452, 'adecuación utilización': 0.8224044442176819}",{},"{'la la': 0.947020411491394, 'construcciones plantaciones': 0.8306095004081726, 'construcciones instalaciones': 0.807640016078949, 'y y': 0.9070735573768616}"
16,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",True,"{'cuadrícula (': 0.9473557472229004, 'solar solar': 1.0, 'generación generación': 1.0}",{},"{'contaminación descarbonización': 0.8036044239997864, 'de de': 0.9079835414886475}",{},"{'conservación realización': 0.8137819766998291, 'conservación gasificación': 0.8011845946311951, 'conservación construcción': 0.806158721446991}","{'la la': 0.939012348651886, 'eléctricos eléctricos': 1.0, 'no no': 0.9680165648460388}",{},"{'adecuación habilitación': 0.8525652289390564, 'adecuación fiscalización': 0.8114882707595825, 'adecuación realización': 0.8257564902305603, 'adecuación gasificación': 0.8322635889053345}",{},"{'la la': 0.947020411491394, 'y y': 0.9070735573768616}"
